version	name	file	phase	risk	sha256	history_mode
1	platform	000001_platform.sql	expand	medium	923a35e6490908ed1a7ddb48d44f241ec480febaa01bc119cf6addd8fce54aac	bootstrap
2	tenancy	000002_tenancy.sql	expand	high	56ab7dd3ff1a8eedcf4f7038ed0841ceb7d52563bb5f56656064061837cea24e	bootstrap
3	migration_framework	000003_migration_framework.sql	expand	medium	a055d1fce3a198ad00435a96063d51674634a55c00d252a5172d30c5f7c1c7b1	bootstrap
4	audit_base	000004_audit_base.sql	expand	medium	63ac3da9825827d65391acbf7dcc6b2196fcbddc0eaa6870d45dc7a1346c562c	atomic
5	secrets_provider	000005_secrets_provider.sql	expand	high	22dd86a23a46c88ef12233647687aa7d4fa869038bbdb52e4710784338cce2ef	atomic
6	privacy_foundation	000006_privacy_foundation.sql	expand	high	be0ff8ca0007a6c1fde347c78744eb0a1b3f44aa65a0d050335c49fc21265492	atomic
7	transactional_outbox	000007_transactional_outbox.sql	expand	high	d16f61bb7a0ecf94bb061742f15f806a3bb14a459b42a6f8d36c68f6b14906a3	atomic
8	inbox_idempotency	000008_inbox_idempotency.sql	expand	high	de89abb4f8bd022de77b3bf54f938d6f40e36c82c672c9869065d88224ee9868	atomic
9	catalog_domain	000009_catalog_domain.sql	expand	high	df0799acab413e18bccbfbfd8ad7a9768bd9714d142db42d881c65d260644173	atomic
10	price_inventory	000010_price_inventory.sql	expand	high	b4ceebdcfddf442e6598854869a41df4d602d1154eba4a5a6ea41e57a4cb9a7f	atomic
11	orders	000011_orders.sql	expand	high	c28aa4fd7c240f691a127dbc4633f1e5c116cad266c22b4ea63a5858e2d43598	atomic
12	connector_sdk	000012_connector_sdk.sql	expand	high	293966086a41a04bead68e951abdfb8e332bbff7da522b0ae91de7463c82b8b3	atomic
13	approval_engine	000013_approval_engine.sql	expand	high	1a55a87746ca527c548b32c74639fd5ecb9e1c1dcddb463f06c4ee6ae69caf91	atomic
14	data_lineage	000014_data_lineage.sql	expand	high	5cc2e5d2e10b589957bce8eb16a99a6a0afd4555e7277f28198d1ab8fe976e40	atomic
15	pim_mdm	000015_pim_mdm.sql	expand	high	10c85a39126253255b96f5e37d20d7d1cc5b36438278b6b4f0db9793cdc9fc93	atomic
16	legal_party_counterparty	000016_legal_party_counterparty.sql	expand	high	59628ee15d088cd0ddc86ac9562bf4d7cce131a1fe9cd3e92400316da97a5089	atomic
17	product_compliance	000017_product_compliance.sql	expand	high	7526a944d39a4b8b44e962760ec780ad11fd7343d341bb937e5ba965855639e5	atomic
18	entitlements	000018_entitlements.sql	expand	high	25c505c01bacef2375a80938c7035c821f9673270e3eec1daf264b6eb5c3c82a	atomic
19	search_provider	000019_search_provider.sql	expand	medium	309deca529f222827207c9086835f01e5cd56e70c0e5a99ca190dde9e6f5c039	atomic
20	durable_webhooks	000020_durable_webhooks.sql	expand	high	92670aaf827d8667a4542b9def318e03a8095ab65a155477aeb284e10e08b34e	atomic
21	notifications	000021_notifications.sql	expand	high	99f77e9dfacb0d0ab2133a9029dd6b4fb5a3e2474c0fc71aa0623de7eea105a0	atomic
22	upload_quarantine_foundation	000022_upload_quarantine_foundation.sql	expand	high	a1234f2a8ddc32f09f57c787cb306695398fccb968a6984ae53349b467be0c14	atomic
23	upload_security_pipeline	000023_upload_security_pipeline.sql	expand	high	c2743a9725a4e79165f01818051494b3c329cfaa9286825723efd02544748a61	atomic
24	sync_engine	000024_sync_engine.sql	expand	high	6fdfef47f2a4877a40948f421ef3d4b72d3764ce5f0c5f9cf668cdddb951d63a	atomic
25	reconciliation	000025_reconciliation.sql	expand	high	d7a5786086d01c4d957684cc71dde0a8c04b728e36425b5585ae78fa6e1428d0	atomic
26	ai_agent_governance	000026_ai_agent_governance.sql	expand	high	fde97b9fdf1d98da351dba51f4c2a7629fecc2b42041d98e4235a5f8fd9c963b	atomic
27	social_core	000027_social_core.sql	expand	high	9f71ed7be66e5d19fdddf0c0bf2052b06124a168aa45aa0792298b51dbc220d6	atomic
28	plugin_marketplace_governance	000028_plugin_marketplace_governance.sql	expand	high	27ae35c8e22df61b4c4ae06e26e01e39f18e97b15410ecc69e4a793be9d323ab	atomic
29	promotions_pricing_guards	000029_promotions_pricing_guards.sql	expand	high	21f61593e98a9f2a8e37f7de18e66059db73f6e0142d6c917c0136db0703e38f	atomic
30	advertising_engine	000030_advertising_engine.sql	expand	high	787a13cec70cfef09655780b435adf805a418a61e6201466608bd384615e0989	atomic
31	procurement_core	000031_procurement_core.sql	expand	high	693c9990ce545074e68334b86d721daebb5c75a91928e793fbca0a1f322e617b	atomic
32	replenishment_planning	000032_replenishment_planning.sql	expand	high	e91be562f3bd3dcbb01156915583a448f6fa9746e79995b94ab1d30b58536eea	atomic
33	wms_inventory_ledger	000033_wms_inventory_ledger.sql	expand	high	5d98c1812d65f0e7fd7ffdba7a2a17a7b8fe6bbd1c4af0e29e99fa43b4153c67	atomic
34	wms_execution	000034_wms_execution.sql	expand	high	e49c16ccb115c22c19e37601f897f0a6bbc009a29befe0ac4fb97adc97774a8b	atomic
35	claims_disputes	000035_claims_disputes.sql	expand	high	e5d55ed6e048c2382c072c8ba3740fae20774a346add92571c6d6257134aafc1	atomic
36	customer_service_inbox	000036_customer_service_inbox.sql	expand	high	613c83d7ebe3764308303880d6a263b95e607ad79a3abe09eaf0e7a167c87c4c	atomic
37	marketplace_settlement_ledger	000037_marketplace_settlement_ledger.sql	expand	high	086041840fe99d517722eb56f22d0cb331717db9ea0ede32c882baa07252491d	atomic
38	settlement_payment_reconciliation	000038_settlement_payment_reconciliation.sql	expand	high	a5a4ac85d90d17138eba2a4e5f719b916a1b12447bf2d58ba29ae086a1e4b09f	atomic
39	retention_subject_requests_tenant_deletion	000039_retention_subject_requests_tenant_deletion.sql	expand	high	48e8e256edba70cd5e3c676ddcd9f27a4fc2e39162f3637a5a12574be14e3917	atomic
40	fx_rate_provider_completion	000040_fx_rate_provider_completion.sql	expand	high	c6af7455a04ec95b72b3cdfcf45a0d57f21aded2d5e7a1118d80c742c1747c20	atomic
41	chestny_znak_connector_baseline	000041_chestny_znak_connector_baseline.sql	expand	high	6e3c644a196a3fd864ad506758691593f13c4a1e7546c86ad2b5acb4957c4aff	atomic
42	signing_ukep_mchd_foundation	000042_signing_ukep_mchd_foundation.sql	expand	high	b3fba92e045130197bad9b51c72b5864ef3dbcdc843f9015bc0df251d68fe1dc	atomic
43	edo_connector_sdk_providers	000043_edo_connector_sdk_providers.sql	expand	high	0fa12750e144012985d2b613c53315fb5babaf5c86b43d0dc1b6e6e2354af2d7	atomic
44	kkt_ofd_fiscalization_abstraction	000044_kkt_ofd_fiscalization_abstraction.sql	expand	high	90f7fd601a3427a289d663757e1819ce02a3cd77569f0b681a9ad6869b4c400e	atomic
45	vetis_mercury_connector	000045_vetis_mercury_connector.sql	expand	high	c1cdc0f146a281e565d29a86355e78fa500edc940c788c3033fb66911ffd3dba	atomic
46	payments_sbp_provider_sdk	000046_payments_sbp_provider_sdk.sql	expand	high	b15411ed96fa4ba990d700bf0de71aed20326d3a268a26dbf112f759020f96ad	atomic
47	logistics_carrier_sdk	000047_logistics_carrier_sdk.sql	expand	high	aca5d663287b5976a86efb5e9cd9f0c8081a91b1d832e9371912447faf69ba3b	atomic
48	pudo_operations	000048_pudo_operations.sql	expand	high	32398d000db376855bc82644b07673e64632e5a7026ffb84fc1276d5345566d7	atomic
49	incident_management_runbooks	000049_incident_management_runbooks.sql	expand	high	c5022b64a29f657f069c9006c90f773199975fade710ea72b9fc79ba0d01f8c9	atomic
50	egais_government_connector	000050_egais_government_connector.sql	expand	high	eaad15a877472d5b89ffd6d56f617912d94d999efcb61baf1e579fdbe3af1a39	atomic
51	enterprise_iam_federation	000051_enterprise_iam_federation.sql	expand	high	603efc295ac68aa20d3a71b672689ed18f0700e2b07e50e535208687a890d972	atomic
52	siem_security_event_export	000052_siem_security_event_export.sql	expand	high	ddf7a3da0150d66c26290fd6457129b66f2323f284a25d7144a535e1bded18b4	atomic
53	cloud_billing_lifecycle	000053_cloud_billing_lifecycle.sql	expand	high	ee9468a736f60bb7fea26b7a7d8c4661b191a3a9e2a0d7919786babad92adb37	atomic
